FP_REGION,QUINQUENNIUM,NRTN_|CORN-WHEAT|,NRTN_|SOYBEANS-WHEAT|,NRTN_WHEAT,NRTN_|OTHER CROPS-WHEAT|,NRTN_|PASTURE/RANGE-WHEAT|,NRTN_|FOREST-WHEAT|,LUSHR_WHEAT
CORN BELT & LAKE STATES,1992-1997,0.3260596899375183,0.4038467708451092,0.25244273281960444,0.11025788124297453,0.03696717972511493,0.1424524224930892,0.02391783843396747
CORN BELT & LAKE STATES,1997-2002,0.21325779477935045,0.3526341822322553,0.2238261502128024,0.13680589710055727,0.07613367817667001,0.107212835818742,0.04579893317025108
CORN BELT & LAKE STATES,2002-2007,0.39158088587661777,0.3330980934286885,0.3759654960208897,0.05169888444193358,0.11912378331653171,0.16713971529861157,0.05321432606485143
CORN BELT & LAKE STATES,2007-2012,1.0,0.8889119008722618,0.7767464849570397,0.1023043630468239,0.4103423291144433,0.3382150112625461,0.03243466584030575
CORN BELT & LAKE STATES,2012-2017,0.5511961718309726,0.8751851617151647,0.8429186336310677,0.04262050700642933,0.27877855778621635,0.3636502028981255,0.042024635130938834
MOUNTAIN,1992-1997,0.21457957496742874,0.321601953738515,0.2853256695648323,0.10842443163008901,0.3831989266663682,0.0,0.17436730903180866
MOUNTAIN,1997-2002,0.17230427438116064,0.17798362170443832,0.13402756979833147,0.21369258041899475,0.23788991550385483,0.020122778548669614,0.18488387350741373
MOUNTAIN,2002-2007,0.2416082276878432,0.2161226706583108,0.17420604528886502,0.22261406258629096,0.2739191728371759,0.05411963228961575,0.22894919972164232
MOUNTAIN,2007-2012,0.4734012475656396,0.6358776791259653,0.6164068023172842,0.1243829956621401,0.6918445298538279,0.2866849783850493,0.23011304165794433
MOUNTAIN,2012-2017,0.31357467798163746,0.5453430389910134,0.521030962607545,0.34209025632606915,0.5967187779229592,0.24112751764290996,0.1915269196822595
NORTHEAST,1992-1997,0.0,0.0,0.4232751134042673,0.01851911199363031,0.1214881280544379,0.3315110317014883,0.20948616600790512
NORTHEAST,1997-2002,0.020871450959914353,0.10746885667151576,0.2527369082557426,0.11873332220682559,0.08700404896393986,0.6253222187983226,0.0
NORTHEAST,2002-2007,0.060997539712209656,0.1852925841617939,0.3071723291305249,0.14619472974600253,0.08347780721157676,0.9422812457711903,0.0
NORTHEAST,2007-2012,0.2482035971793985,0.49834076142835626,0.7590130154016004,0.13046859758255924,0.25000904197167656,0.10463144557353353,0.022968197879858657
NORTHEAST,2012-2017,0.16425853052876577,0.6663846958452592,0.7750343080896072,0.0,0.014197184473096017,0.15709919681410386,0.51440329218107
NORTHERN PLAINS,1992-1997,0.24025361666860548,0.24846110172784458,0.199356504931448,0.023021300976967352,0.250572804861728,0.11707437243900716,0.1505637467476149
NORTHERN PLAINS,1997-2002,0.16201823204294835,0.26138905758448444,0.12455327897326371,0.0498105737727571,0.17242505035746283,0.0867211685045515,0.17394531733267352
NORTHERN PLAINS,2002-2007,0.27338990271754376,0.2574006149018388,0.1594511236981914,0.0178428465226703,0.19483201477460665,0.11334076285629055,0.08144377602961593
NORTHERN PLAINS,2007-2012,0.8704353541713913,0.6962379226696136,0.5740548437365318,0.010604071859357992,0.5811959178161773,0.2858047387783555,0.11491954382127793
NORTHERN PLAINS,2012-2017,0.594045066563905,0.7449901628752861,0.5048116474813155,0.07048358533232718,0.4889427634752435,0.2588432593903904,0.13541995579412694
PACIFIC,1992-1997,0.03526181856638535,0.6027957206363995,0.5815558373663895,0.2688598011123129,0.6335101547918571,1.0,0.2029372496662216
PACIFIC,1997-2002,0.031023330315093172,0.37372056939584597,0.340231247423401,0.3539947166647679,0.3974513968296008,0.539181500014588,0.5217391304347826
PACIFIC,2002-2007,0.048455691395153266,0.451860591869871,0.42254968650140473,0.5340159953058216,0.4725680174183206,0.2655008666416026,0.0
PACIFIC,2007-2012,0.003444006468371717,1.0,1.0,0.8017563821049327,1.0,0.29334393341019943,0.13457469318662715
PACIFIC,2012-2017,0.0011808629658505907,0.8161794030629822,0.8063498815184981,1.0,0.7981253021337487,0.11875488854418217,0.3841170825335892
SOUTHEAST,1992-1997,0.1818883951982762,0.11447200902812563,0.23318899123547138,0.31668597691585265,0.04284349299780216,0.0006687602871234621,0.008026880716819115
SOUTHEAST,1997-2002,0.13376599844190765,0.10894230307732847,0.11978057734884932,0.3035329178157652,0.040298257190499565,0.15082574554547398,0.013968659150535348
SOUTHEAST,2002-2007,0.31437827194558726,0.2701279475991458,0.1587334076567615,0.297434643251179,0.0,0.06877898299121865,0.016017249345448948
SOUTHEAST,2007-2012,0.6090699132665288,0.4081250165586597,0.5671769521922619,0.23337194262447952,0.23081717661739304,0.15868446256040705,0.034697217675941076
SOUTHEAST,2012-2017,0.6351702868068381,0.7147628174422483,0.6808448411664958,0.30035443918833377,0.20348725172820847,0.23807376618314763,0.00846795205836373
SOUTHERN PLAINS,1992-1997,0.4250847554898232,0.18339601361411262,0.04667817536537998,0.19686637460734618,0.12064265694297714,0.21051608343431422,0.12086010874938209
SOUTHERN PLAINS,1997-2002,0.2899201909420909,0.05517218059132106,0.018463047214123323,0.1313944445213081,0.09301438742348515,0.34172466318562417,0.14208198171630787
SOUTHERN PLAINS,2002-2007,0.38911288838868907,0.17605346155631268,0.0,0.16587233382218705,0.07162476769232744,0.2202078668603546,0.06303823630726835
SOUTHERN PLAINS,2007-2012,0.8065720124550437,0.3499031772170417,0.17407613773963235,0.19090640969644346,0.2260690616293052,0.005406940425544057,0.06920275192229866
SOUTHERN PLAINS,2012-2017,0.9619714846361949,0.5003241503179549,0.11600649520894772,0.19301328770567808,0.17866288055290083,0.04418281481583947,0.08096683286364623
