FP_REGION,QUINQUENNIUM,NRTN_|CORN-FOREST|,NRTN_|SOYBEANS-FOREST|,NRTN_|WHEAT-FOREST|,NRTN_OTCROPS,NRTN_PASTRNG,NRTN_FOREST,LUSHR_FOREST
CORN BELT & LAKE STATES,1992-1997,0.3303464246508175,0.26359132907842653,0.1424524224930892,0.22164701643329818,0.12547288222183559,0.012030862976471223,0.008822718500137855
CORN BELT & LAKE STATES,1997-2002,0.23141333867172867,0.2191605153833203,0.107212835818742,0.1982895387952977,0.11068993315999195,0.030416745941390492,0.021064791220738625
CORN BELT & LAKE STATES,2002-2007,0.3921588291651736,0.2596127778924723,0.16713971529861157,0.20823732199520004,0.08315393151914684,0.031070830435530265,0.041125296576658005
CORN BELT & LAKE STATES,2007-2012,0.9061982687127408,0.5764470768589428,0.3382150112625461,0.29325546571914624,0.12134156113021466,0.02259268734160516,0.020142547257514718
CORN BELT & LAKE STATES,2012-2017,0.6832673728804534,0.5918271690103083,0.3636502028981255,0.3688588266471263,0.18510751369592046,0.023363434107616585,0.02680881896284029
MOUNTAIN,1992-1997,0.12166521201639131,0.12081987367287295,0.0,0.0459031355645579,0.12385599531370421,0.13218285412011457,0.00046436034362665435
MOUNTAIN,1997-2002,0.0718693269791017,0.09352425260836011,0.020122778548669614,0.09305911822782666,0.09573566528775462,0.10524001583487944,0.0
MOUNTAIN,2002-2007,0.19243925930551842,0.04375172884824266,0.05411963228961575,0.19722934507023973,0.04486893038276788,0.05611077801510595,0.0
MOUNTAIN,2007-2012,0.5607695852465621,0.0,0.2866849783850493,0.40872795985893806,0.00027480234559273123,0.012924519227603298,0.0
MOUNTAIN,2012-2017,0.42509951075943414,0.005835166244443759,0.24112751764290996,0.5151645741395563,0.004606164413003938,0.01868426875372448,0.0
NORTHEAST,1992-1997,0.34416619057216746,0.21877238102811725,0.3315110317014883,0.38472559532146405,0.30266318435222506,0.43493585829175224,0.0
NORTHEAST,1997-2002,0.6585222545386977,0.41325519503515423,0.6253222187983226,0.6324666288817457,0.45519805186862905,0.6092220523871094,0.021611001964636545
NORTHEAST,2002-2007,0.926234826358038,0.6356080387480163,0.9422812457711903,1.0,0.7063588741635644,0.8707844727242208,0.0
NORTHEAST,2007-2012,0.02691740565164808,0.09714906289810962,0.10463144557353353,0.19040798270839254,0.16641459442202175,0.3632984746217902,0.030035335689045935
NORTHEAST,2012-2017,0.25562013981971476,0.3614865523837102,0.15709919681410386,0.15742803088631802,0.1294608775921281,0.16193030616905188,0.0
NORTHERN PLAINS,1992-1997,0.25656158502253923,0.1925785093252311,0.11707437243900716,0.1255852817485817,0.0,0.015252766136019101,0.0
NORTHERN PLAINS,1997-2002,0.18185256195542449,0.17308779146815467,0.0867211685045515,0.10838903853044546,0.0020204028186686265,0.015617394056060323,0.0003092911047878263
NORTHERN PLAINS,2002-2007,0.2711088706717269,0.1926006802492104,0.11334076285629055,0.11715668344980047,0.015572103489596726,0.005825916976911019,0.0018509949097639982
NORTHERN PLAINS,2007-2012,0.7802655430713045,0.4720088656690509,0.2858047387783555,0.29742122013986955,0.023248130461375617,0.0005394429273326283,0.0008748633026089673
NORTHERN PLAINS,2012-2017,0.599051181870107,0.46696623269375165,0.2588432593903904,0.33448847334759824,0.03262937957595372,0.0,0.0
PACIFIC,1992-1997,1.0,1.0,1.0,0.9792619328004807,1.0,1.0,0.0
PACIFIC,1997-2002,0.5274835006568975,0.5640564157544211,0.539181500014588,0.3517377525482857,0.5581291861021859,0.5696907769911533,0.0022618748429253585
PACIFIC,2002-2007,0.3030422019137863,0.3756668462066768,0.2655008666416026,0.03134748815168978,0.36722737130208555,0.38373605205730876,0.0
PACIFIC,2007-2012,0.30674718324704947,0.11467150787278622,0.29334393341019943,0.9215603544902103,0.09739070265144029,0.1261139529920294,0.0
PACIFIC,2012-2017,0.12557839360110562,0.1907425514558609,0.11875488854418217,0.8555462296913073,0.16802930386354029,0.20120181490965078,0.0
SOUTHEAST,1992-1997,0.097236893049794,0.052102593730958754,0.0006687602871234621,0.19360887865333798,0.015598477616775273,0.12080630677794571,0.4058241553108083
SOUTHEAST,1997-2002,0.07025144512860815,0.041544612944052754,0.15082574554547398,0.0,0.09647240099761156,0.20177979065907548,0.516627667872084
SOUTHEAST,2002-2007,0.10059818035029679,0.050063222653208936,0.06877898299121865,0.09589095053824023,0.045148031188409765,0.1504358480028606,0.7116895117819191
SOUTHEAST,2007-2012,0.5041790767432791,0.27769911454399787,0.15868446256040705,0.33324373292633713,0.03938111487187498,0.09658574093379958,0.4436988543371522
SOUTHEAST,2012-2017,0.6004779868658652,0.44076523337086637,0.23807376618314763,0.48033091789406857,0.11107530081375563,0.07034229405419415,0.6753517457008859
SOUTHERN PLAINS,1992-1997,0.015995144425709602,0.0637311068858426,0.21051608343431422,0.06648356094604288,0.20695214264445647,0.22532455012605138,0.0
SOUTHERN PLAINS,1997-2002,0.18028619869963738,0.20859856568375057,0.34172466318562417,0.275877937471289,0.3012599470642131,0.31794585683786275,0.008139191978767326
SOUTHERN PLAINS,2002-2007,0.0,0.07373095065625472,0.2202078668603546,0.10143969369644495,0.19831264120617256,0.2184095830668197,0.00826730967964175
SOUTHERN PLAINS,2007-2012,0.4391309129060642,0.12590742244378317,0.005406940425544057,0.09409599417878245,0.0802022697481525,0.10623006370105754,0.0037231889923108052
SOUTHERN PLAINS,2012-2017,0.5820901637254532,0.21847301134119196,0.04418281481583947,0.16301132403494265,0.021062495111286928,0.04583089510583482,0.0
